71.6.146.185 - - [26/Nov/2016:00:30:53 -0300] "GET / HTTP/1.1" 404 961
191.114.200.122 - - [26/Nov/2016:03:40:00 -0300] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 279
191.114.200.122 - - [26/Nov/2016:03:40:04 -0300] "POST /EasyMart/services/UsuarioWebService?wsdl HTTP/1.1" 200 636
191.114.200.122 - - [26/Nov/2016:03:40:11 -0300] "POST /EasyMart/services/ProductoWebService?wsdl HTTP/1.1" 200 48415
46.174.191.29 - - [26/Nov/2016:04:21:26 -0300] "GET / HTTP/1.0" 404 961
91.236.75.4 - - [26/Nov/2016:06:24:21 -0300] "GET /reader/about/ HTTP/1.1" 404 987
123.59.72.185 - - [26/Nov/2016:10:35:50 -0300] "GET /favicon.ico HTTP/1.1" 404 983
212.92.127.143 - - [26/Nov/2016:11:59:59 -0300] "GET / HTTP/1.0" 404 961
46.174.191.29 - - [26/Nov/2016:12:01:54 -0300] "GET / HTTP/1.0" 404 961
46.174.191.29 - - [26/Nov/2016:19:13:04 -0300] "GET / HTTP/1.0" 404 961
46.174.191.29 - - [26/Nov/2016:21:50:37 -0300] "GET / HTTP/1.0" 404 961
